ID,Brand,Product Name,Product Price,Purchases in Past Month,Total Reviews,AVG Rating,Gender,Date Uploaded
197,Avia,"Forte 2.0 Men’s Running Shoes, Lightweight Trail or Running Athletic Sneakers for Men - Green, Black or Grey",29.98,0,720,4.1,Men's,2023-10-31
198,HOKA ONE ONE,HOKA Men's Low Neck,155.38,0,208,4.2,Men's,2023-10-31
199,ASICS,Men's Noosa Tri 13 Running Shoes,129.9,0,1820,4.8,Men's,2023-10-31
200,adidas,Men's Ultraboost,149.9,0,217,4.4,Men's,2023-10-31
201,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Blue/White, 13",69.95,0,5,4.6,Men's,2023-10-31
202,On,Women's Cloudsurfer Sneaker,148.87,0,501,4.5,Men's,2023-10-31
203,APL: Athletic Propulsion Labs,Men's Techloom Pro Running Sneakers,160,0,100,4.4,Men's,2023-10-31
204,HOKA ONE ONE,"Men's Running Shoes, 0",202.81,0,200,4.4,Men's,2023-10-31
205,Under Armour,Men's Charged Assert 10 Running Shoe,56.25,0,1299,4.5,Men's,2023-10-31
206,Brooks,Men's Adrenaline GTS 22 Supportive Running Shoe,99.95,100,11915,4.7,Men's,2023-10-31
207,Joomra,Whitin Men's Supportive Running Shoes Cushioned Lightweight Athletic Sneakers,43.99,50,12875,4.4,Men's,2023-10-31
208,ALLSWIFIT,Men's Road Running Tennis Shoes Comfortable Walking Shoes Athletic Workout Gym Cross Trainer Sneakers,45.99,0,74,4.5,Men's,2023-10-31
209,APL: Athletic Propulsion Labs,Men's Techloom Pro Running Sneakers,160,0,100,4.4,Men's,2023-10-31
210,HOKA ONE ONE,"Men's Running Shoes, 0",202.81,0,200,4.4,Men's,2023-10-31
211,ASICS,Men's Gel-Nimbus 23 Lite-Show Running Shoe,0,0,115,4.6,Men's,2023-10-31
212,Topo Athletic,"Men's Specter Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",159.95,0,0,0,Men's,2023-10-31
213,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 11 X-Wide",42.96,0,6,5,Men's,2023-10-31
214,New Balance,Men's FuelCell Supercomp Trainer V1 Running Shoe,0,0,117,4.2,Men's,2023-10-31
215,ASICS,Mens Gel-Cumulus 19 Athletic Shoe,59.95,0,3675,4.4,Men's,2023-10-31
216,Saucony,Men's Echelon 8 Running Shoe,79.9,0,581,4.5,Men's,2023-10-31
217,Brooks,Mens Levitate Running Shoe,90.58,0,1196,4.6,Men's,2023-10-31
218,HOKA ONE ONE,Men's Running Shoes,135.99,0,60,4.2,Men's,2023-10-31
219,Saucony,Men's Endorphin Pro 3 Sneaker,224.95,0,85,4.6,Men's,2023-10-31
220,Skechers,"Men's GOrun Consistent-Athletic Workout Running Walking Shoe Sneaker with Air Cooled Foam, Black/Charcoal, 15",40,0,31,4.7,Men's,2023-10-31
221,ASICS,Men's Gel-Nimbus 22 Running Shoes,149.9,0,7865,4.6,Men's,2023-10-31
222,Nike,Men's Gymnastics Shoes Running,79.99,0,806,4.3,Men's,2023-10-31
223,Under Armour,Men's HOVR Phantom 2 Inknt Road Running Shoe,121.52,0,0,0,Men's,2023-10-31
224,Brooks,Mens Transcend 6 Running Shoe,71.96,0,1537,4.6,Men's,2023-10-31
225,ASICS,Men's Trabuco Max 2 Running Shoes,149.95,0,34,4.5,Men's,2023-10-31
226,ON,mens Low-top,174.99,0,19,4.4,Men's,2023-10-31
227,New Balance,Men's Xc 5k V6 Running Shoe,83.12,0,10,4.5,Men's,2023-10-31
228,PUMA,Axelion Refresh Future Mens Running,78.83,0,0,0,Men's,2023-10-31
229,Nike,Men's Air Huarache White/White/Pure Platinum Running Shoe 9,109.97,0,119,4.1,Men's,2023-10-31
230,adidas,Women's Court Team Bounce Cross Trainer,89.9,0,1122,4.6,Men's,2023-10-31
231,ASICS,Men's EvoRide Running Shoes,69.9,0,214,4.7,Men's,2023-10-31
232,ASICS,Men's GT-2000 8 Running Shoes,103.97,0,4900,4.7,Men's,2023-10-31
233,Nuofado,Men Sport Trail Running Athletic Blade Sneakers Walking Shoes Tennis Shoes,41.99,0,93,4.4,Men's,2023-10-31
234,ASICS,Men's Gel-SAIUN Running Shoes,79.95,0,41,4.4,Men's,2023-10-31
235,Nike,Mens Air Presto Halloween Running Shoes,100,0,22,4.5,Men's,2023-10-31
236,ASICS,Men's EvoRide 3 Running Shoes,79.95,0,3,5,Men's,2023-10-31
237,Brooks,mens Ghost 15,85.88,0,8,4.8,Men's,2023-10-31
238,Nike,"Nike Air Max AP Men’s Running Shoes, Black/Summit White-Anthracite, 10 M US",69.8,0,3,4.6,Men's,2023-10-31
239,ASICS,Men's Glideride Running Shoes,79.9,0,35,4.4,Men's,2023-10-31
240,Saucony,Men's Guide ISO Running Shoe,79.91,0,2015,4.6,Men's,2023-10-31
241,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Phantom/Deep Earth Red, 9.5 X-Wide",52.95,0,6,4.1,Men's,2023-10-31
242,New Balance,Men's FuelCell Echo V1 Running Shoe,109.99,0,985,4.6,Men's,2023-10-31
